战士
1.英勇打击   高伤害，加对方气力
2.破甲       减少对面防御
3.毁灭打击   自身攻击大于对方防御额外伤害，对方治疗减少二回合
4.乘胜追击   上回合造成伤害越高，则增加伤害
5.浴血奋战   自身与对方血越少伤害越高

6.狂暴之怒   无伤害，加自身攻击力，解除并免疫debuff二回合
7.破胆怒吼   驱散对方所有buff，减对方气力，加自身气力
8.盾牌反射   下一次受到伤害减伤+反伤70%
Q.剑刃风暴   伤害无视防御与减伤，仍受破甲加成
W.震荡波     使对方昏迷一回合
E.盾牌屏障   减伤二回合，保存一定气力

法师
1.火球术     火焰伤害，解寒冷，叠加灼烧1.4层
2.寒冰箭     冰霜伤害，解灼烧，叠加寒冷
3.闪电箭     闪电伤害
4.燃烧       火焰伤害，叠加灼烧1.2层，然后本回合灼烧伤害加倍
5.冰霜新星   冰霜伤害，下回合对方无法造成伤害

6.施法专注   伤害必定爆击且无视减伤两回合，加自身气力
7.寒冰护体   下两次受到伤害时减少伤害，并减对方气力
8.反制       驱散对方所有buff，对方下回合随机二个技能无法使用      
Q.时光倒流   双方回到两回合前状态，保留自身buff与对方debuff，清除所有记录值
W.炎爆术     火焰伤害，叠加灼烧1.6层，然后引爆灼烧
E.深度冻结   冰霜伤害，使对方冻结一回合

